recipient_key	recipient_name	parent_name	candidate_ticker	basis
4c3d8bed-0309-8dd4-8279-e0fa623505f2-C	VECTREN ENERGY DELIVERY OF OHIO, LLC	CENTERPOINT ENERGY, INC.	CNP	parent-name
4ca161f0-b346-caf7-d8b5-fbc0618a124c-C	HUNTSMAN INTERNATIONAL LLC		HUN	own-name
4cae6b4e-1ccc-101c-c2bc-368bcd4e5340-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
4d954735-5a17-9d2f-f9ad-bd508ab2d168-C	FISHER SCIENTIFIC COMPANY L.L.C.	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
4dc93a45-67c0-81d9-c200-dc69b5cdcf76-C	WASTE MANAGEMENT OF MINNESOTA, INC.	WASTE MANAGEMENT, INC.	WM	parent-name
4e27a227-9e6f-eae8-b53b-d4f80d11cfef-C	INTERNATIONAL BUSINESS MACHINES CORPORATION		IBM	own-name
4ebe5797-a7aa-41d5-c055-4fb073a3804e-C	LOCKHEED MARTIN SERVICES, LLC		LMT	own-name
4f309755-a9a2-cb5a-a1e4-6b613f056590-C	UNITED RENTALS (NORTH AMERICA), INC.		URI	own-name
5045cd4a-6b25-9e0a-5d1b-3a9559fadb93-C	FLUOR ENTERPRISES, INC.		FLR	own-name
5068bf75-a8a3-af40-b3a0-ba93566e89e1-C	JOHNSON CONTROLS SECURITY SOLUTIONS LLC	JOHNSON CONTROLS, INC.	JCI	parent-name
5099e6a7-7a4e-921b-9375-d64b9383d38e-C	OTIS ELEVATOR COMPANY	RTX CORP	RTX	parent-name
512f160b-e5b9-7039-89f7-9b78c6367ee9-C	KNOLL, INC.	MILLERKNOLL INC	MLKN	parent-name
5139d3f2-159b-be39-2cfa-5b5eb8b17caf-C	JOHNSON CONTROLS FIRE PROTECTION LP	JOHNSON CONTROLS, INC.	JCI	parent-name
5186820c-4018-c1ac-5cf3-c5ecd52bcc0c-C	PRAXAIR, INC.	LINDE INC.	LIN	parent-name
51bc164d-0975-136d-3fb5-d67ade0957a7-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
51bcdd60-3b39-c1e0-eb40-86dc589989c5-C	CUMMINS INC		CMI	own-name
521de427-4f94-2745-b4c8-ea4476918426-C	CHANGE HEALTHCARE TECHNOLOGIES LLC	MCKESSON CORPORATION	MCK	parent-name
52a30156-c031-3fed-cf47-acdeb13d29dd-C	BOSTON SCIENTIFIC NEUROMODULATION CORP	BOSTON SCIENTIFIC CORP	BSX	parent-name
53ffa4ca-993b-c29c-d8d4-e8e916d4176b-C	MARRIOTT INTERNATIONAL INC	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
5487725e-5e9d-21a3-1fbd-6b8aa9244a20-C	ROLLER BEARING COMPANY OF AMERICA, INC.	RBC BEARINGS INCORPORATED	RBC	parent-name
549302b4-4569-6c1e-ab19-17406ede8abb-C	PROVATION SOFTWARE, INC.	FORTIVE CORPORATION	FTV	parent-name
54b343cd-3a19-9758-8e57-f6a5ccdca521-C	FILMETRICS INC	KLA CORPORATION	KLAC	parent-name
54c8ba75-dd0e-3313-b4ee-ae6ab2bf0e7a-C	COMCAST CABLE COMMUNICATIONS, LLC	COMCAST CORPORATION	CMCSA	parent-name
5611c685-611f-82c0-fd9a-1f336e1d40a4-C	KFT FIRE TRAINER LLC	RTX CORP	RTX	parent-name
562c90b3-76d8-b70e-8093-05abbb229af2-C	GRIFOLS USA LLC		GRFS	own-name
5630d744-6d7b-3bff-9a76-fe728ed0174d-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
56c8509b-9988-e84a-17fe-52cbe407282f-C	MITCHELL REPAIR INFORMATION CO LLC	SNAP-ON INCORPORATED	SNA	parent-name
570ab1f2-bb15-a348-974e-d4831a078687-C	MCKESSON MEDICAL-SURGICAL INC.	MCKESSON CORPORATION	MCK	parent-name
